Categoria,Nome,Indirizzo,Posti,Orari,Caratteristiche,Link
Bar e Caffè per Studiare,Barney's (Circolo dei Lettori),"Via Bogino 9, Torino",Vari tavoli,Durante apertura Circolo,"1h Wi-Fi dopo consumazione, illimitato con tessera Circolo",https://www.circololettori.it
Bar e Caffè per Studiare,Casa del Quartiere San Salvario,"Via Oddino Morgari 14, Torino",Vari spazi,Variabili,"Ambiente informale, bar, Wi-Fi",
Bar e Caffè per Studiare,Combo Torino,"Corso Regina Margherita 128, Torino",Tavoli ampi,7:00-23:00 (Ven-Sab fino a mezzanotte),"Ostello + caffetteria, Wi-Fi, pranzo",https://www.thisiscombo.com
Bar e Caffè per Studiare,Costadoro Social Coffee Factory,"Via Teofilo Rossi di Montelera 2, Torino",Numerosi tavoli,Variabili,"Wi-Fi veloce (1h gratis), prese elettriche, giardino esterno",
Bar e Caffè per Studiare,Orso Laboratorio Caffè,"Via Claudio Luigi Berthollet 30, Torino",Salottino,Variabili,"Caffetteria specialty, Wi-Fi, prese, dehors",
Biblioteca Nazionale,Biblioteca Nazionale Universitaria,"Piazza Carlo Alberto 3, Torino",Numerosi in sala consultazione,Lun-Ven 9:00-16:00,"Oltre 1,3 milioni di volumi, manoscritti rari, accesso da 16 anni",https://bnuto.cultura.gov.it
Biblioteche Civiche,Biblioteca Civica Alberto Geisser,"Corso Casale 5, Torino",Numerosi,"Lun 9:00-12:30/14:00-19:00, Gio 9:00-12:30/14:00-19:00, Ven 9:00-14:00","Aula studio, punto ristoro 'Il Mangialibro', Wi-Fi",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Bianca Guidetti Serra,"Piazzetta Università dei Mastri Minusieri, Torino",32 posti lettura,"Variabili, consultare sito","Centro storico, Wi-Fi",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Cascina Marchesa,"Corso Vercelli 141/7, Torino",Numerosi,"Variabili, consultare sito",Wi-Fi,https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Centrale,"Via della Cittadella 5, Torino",60 in sala lettura,"Lun 14:00-19:00, Mar-Ven 9:00-19:00, Sab 9:00-15:00","Principale biblioteca civica, oltre 500.000 volumi, Wi-Fi",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Cesare Pavese,"Via Candiolo 79, Torino",Numerosi,"Variabili, consultare sito","Wi-Fi, parcheggio",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Dietrich Bonhoeffer,"Corso Corsica 55, Torino",Numerosi,"Lun 14:00-19:00, Mar-Ven 9:00-19:00, Sab 9:00-15:00","3 postazioni internet, Wi-Fi",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Don Lorenzo Milani (Falchera),"Via dei Pioppi 43, Torino",Numerosi,"Lun 14:00-19:00, Mar 9:00-15:00, Mer-Gio 13:00-19:00, Ven-Sab 9:00-15:00","Oltre 48.000 volumi, Wi-Fi, 5 postazioni internet",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Francesco Cognasso,"Corso Cincinnato 115, Torino",Numerosi,"Variabili, consultare sito","Wi-Fi, corsi di lingue",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Italo Calvino,"Lungo Dora Agrigento 94, Torino",Numerosi,"Variabili, consultare sito","Wi-Fi, postazioni internet",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Luigi Carluccio,"Via Monte Ortigara 95, Torino",Numerosi,"Lun 14:00-19:00, Mar-Ven-Sab 9:00-15:00, Mer-Gio 13:00-19:00",Riaperta dopo interventi straordinari,https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Mausoleo della Bela Rosin,"Strada Castello di Mirafiori 148/7, Torino",Numerosi,"Variabili, consultare sito",Zona Mirafiori,https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Passerin d'Entrèves (Cascina Giajone),"Via Guido Reni 96/15, Torino",140 posti lettura,"Lun 14:00-19:00, Mar-Ven-Sab 9:00-15:00, Mer-Gio 13:00-19:00","Wi-Fi, ampi spazi",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Primo Levi,"Via Leoncavallo 17, Torino",Numerosi,"Lun 14:00-19:00, Mar-Ven 9:00-19:00, Sab 9:00-15:00","Wi-Fi, postazioni internet",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Civica Villa Amoretti,"Corso Orbassano 200, Torino",Numerosi,"Variabili, consultare sito","Luminosa, nel parco, Wi-Fi",https://bct.comune.torino.it
Biblioteche Civiche,Biblioteca Musicale Andrea Della Corte,"Corso Francia 186 (Villa Tesoriera), Torino",Numerosi,"Lun-Mar-Gio 9:15-18:45, Mer-Ven 9:15-16:45","Specializzata in musica e danza, 36.000 spartiti, Wi-Fi",https://bct.comune.torino.it
Biblioteche EDISU,Sala Studio Corso Castelfidardo,"Corso Castelfidardo 30/A (Cittadella Politecnica), Torino",180,"Lun-Ven 8:00-23:30, Sab 8:00-20:00","Wi-Fi gratuito, presso il Politecnico",https://www.edisu.piemonte.it
Biblioteche EDISU,Sala Studio Corso Svizzera (Centro Piero della Francesca),"Corso Svizzera 185, Torino",180,Lun-Ven 9:00-18:00,Wi-Fi gratuito,https://www.edisu.piemonte.it
Biblioteche EDISU,Sala Studio Michelangelo Buonarroti,"Via Michelangelo Buonarroti 17/Bis, Torino",364-427,"Lun-Ven 8:30-24:00, Sab-Dom 8:30-22:00 (sessione fino alle 2:00)","Wi-Fi gratuito, prenotabile con app Campus Piemonte",https://www.edisu.piemonte.it
Biblioteche EDISU,Sala Studio Ormea,"Via Ormea, Torino",134,Variabili,"Wi-Fi gratuito, prenotabile",https://www.edisu.piemonte.it
Biblioteche EDISU,Sala Studio Pietro Giuria,"Via Pietro Giuria 17, Torino",200,Lun-Ven 8:30-19:00,Wi-Fi gratuito,https://www.edisu.piemonte.it
Biblioteche EDISU,Sala Studio Principe Amedeo,"Via Principe Amedeo, Torino",96,Variabili,"Wi-Fi gratuito, prenotabile",https://www.edisu.piemonte.it
Biblioteche EDISU,Sala Studio Verdi,"Via Verdi 26, Torino",292-308,"Lun-Ven 8:30-24:00, Sab-Dom 8:30-22:00 (sessione fino alle 2:00)","Wi-Fi gratuito, prenotabile con app Campus Piemonte",https://www.edisu.piemonte.it
Biblioteche EDISU,Torino Student Zone - Murazzi del Po,"Via Murazzi del Po 26 (arcate 30-38), Torino",81,Lun-Ven 9:00-21:00,"Bar, ristoreria, Wi-Fi, spazio polifunzionale",https://www.studyintorino.it
Biblioteche Politecnico,Aule Studio Sede Lingotto,"Via Nizza 230 (8Gallery), Torino","Sala Le Corbusier (32), Sala Tesla (44), Area studio piano 1 (40)",Lun-Ven 8:00-19:30,"Moderne, all'interno dell'8Gallery, Wi-Fi",https://www.polito.it
Biblioteche Politecnico,Biblioteca Centrale di Architettura 'Roberto Gabetti' (Castello del Valentino),"Viale Mattioli 39, Torino",Numerosi posti lettura,"Variabili, consultare sito","Patrimonio librario architettura, sale studio, Wi-Fi",https://www.biblio.polito.it
Biblioteche Politecnico,Biblioteca Centrale di Ingegneria (Sede Centrale),"Corso Duca degli Abruzzi 24, Torino",Vari posti disponibili,Consultare sito del Politecnico,"Aule studio silenziose e rumorose, Wi-Fi, prese elettriche",https://www.biblio.polito.it
Biblioteche Università di Torino,Biblioteca Norberto Bobbio,"Via Sant'Ottavio, Torino",Numerosi,Prenotazione tramite app Affluences,"Biblioteca principale di giurisprudenza, Wi-Fi",https://www.sba.unito.it
Biblioteche Università di Torino,Biblioteca di Economia e Management,"Corso Unione Sovietica, Torino",Numerosi,Prenotazione tramite app Affluences,"Specializzata in economia, Wi-Fi",https://www.sba.unito.it
Biblioteche Università di Torino,Sistema Bibliotecario UniTo (22 biblioteche),Varie sedi in città,Oltre 30 sedi,"Variabili per sede, prenotazione tramite Affluences","Wi-Fi, accesso con credenziali universitarie",https://www.sba.unito.it
Campus Diffuso Universitario,Bunker,"Via Paganini, Torino",40 interni,Variabili,"Wi-Fi, prese elettriche",https://www.studyintorino.it
Campus Diffuso Universitario,CAP10100,"Via Barletta, Torino",80 interni,Variabili,"Wi-Fi gratuito, prese elettriche",https://www.studyintorino.it
Campus Diffuso Universitario,CPG Torino,"Via Verolengo, Torino",20 interni,Variabili,"Wi-Fi, vista green, BarCult",https://www.cpgtorino.it
Campus Diffuso Universitario,Casa del Quartiere - Barrito,"Via Rubino 45, Torino",40 interni + 40 esterni,Lun-Sab 9:00-18:00,"Wi-Fi, caffè con cucina",https://www.studyintorino.it
Campus Diffuso Universitario,Casa nel Parco (Mirafiori Sud),"Via Panetti 1, Torino",20 interni,Sab-Dom 14:00-23:00,"Wi-Fi gratuito, giardino, caffetteria, menù studenti 5€",https://www.fondazionemirafiori.it
Campus Diffuso Universitario,Circolo Arci l'Arteficio,"Via Fossano, Torino",70 interni,Variabili,Wi-Fi gratuito,https://www.arcitorino.it
Campus Diffuso Universitario,Comala,"Corso Ferrucci 65/A, Torino",60 interni + 350 esterni riscaldati,"Lun-Ven 8:30-0:30, Sab-Dom 10:00-0:30","Spazio pubblico, Wi-Fi, prese, acqua gratis, bar",https://www.studyintorino.it
Campus Diffuso Universitario,El Barrio,"Via Baltea 3, Torino",35 interni,Variabili,Wi-Fi gratuito,https://www.studyintorino.it
Campus Diffuso Universitario,Imbarchino (Parco Valentino),"Viale Umberto Cagni 37, Parco del Valentino, Torino",25 interni + 64 esterni,Lun-Sab 9:00-18:00,"Bar, Wi-Fi, prese elettriche, acqua gratis, nel verde",https://www.imbarchino.space
Campus Diffuso Universitario,Off Topic - Torino Youth Centre,"Via Pallavicino, Torino",136 interni,"Variabili, anche in sessione","Centro culturale, Wi-Fi, eventi",https://www.studyintorino.it
Campus Diffuso Universitario,Spazio 211,"Via Cigna 211, Torino",20 interni + 30 esterni,Lun-Ven 10:00-18:30,"Wi-Fi, polo socio-culturale",https://www.studyintorino.it
Coworking e Spazi Studio,AL DUDES Coworking,"Zona Porta Susa (500m dalla Metro), Torino",Varie postazioni,Variabili,"Postazioni flessibili, uffici, meeting room",https://www.aldudes.it
Coworking e Spazi Studio,Circolo dei Lettori - Sala Artisti,"Via Bogino 9, Torino",20 postazioni,Lun-Sab 9:30-17:30,"Necessaria Carta Io Leggo (20€, 15€ studenti), Wi-Fi, bar Barney's",https://www.circololettori.it
Coworking e Spazi Studio,OGR - Officine Grandi Riparazioni,"Corso Castelfidardo 22, Torino",Area ristoro e spazi comuni,Variabili secondo eventi,"Wi-Fi gratuito, bar, centro culturale",https://www.ogrtorino.it
Coworking e Spazi Studio,Open - Fondazione Time2,"Via Avellino (zona), Torino",24 postazioni interne + 20 esterne,"Lun-Mar 9:00-18:00, Mer-Ven 9:00-20:30","Wi-Fi, prese, aria condizionata, acqua gratis, prenotazione necessaria",https://www.open.fondazionetime2.it
Coworking e Spazi Studio,Principi HUB,"Via Antonio Banfo 41, Torino",Postazioni coworking,Lun-Ven 9:00-18:00,"Business desk da 95€/mese, Wi-Fi, stampante, sale riunioni",https://www.principihub.it
Coworking e Spazi Studio,Vol.To Coworking,"Sede Vol.To, Torino",Varie postazioni,Variabili,"Mezza giornata 6,50€, giornata 10€, carnet disponibili",https://www.volontariatotorino.it
Parchi con Wi-Fi,Parco Colletta,"Zona Mirafiori, Torino",Illimitati,Sempre aperto,"448.000 mq, pista ciclabile, area pic-nic, Wi-Fi",
Parchi con Wi-Fi,Parco del Valentino,"Lungo Po, Torino",Illimitati all'aperto,Sempre aperto,"421.000 mq, Wi-Fi in alcune zone, vista sul Po",
Polo del 900,Polo del '900 - Sala Lettura Istoreto,"Corso Valdocco 4/A (3° piano), Torino",Numerosi,"Lun-Gio 10:00-18:00, Ven 10:00-13:00","Storia dell'Antifascismo e Resistenza, Wi-Fi",https://www.polodel900.it
Polo del 900,Polo del '900 - Sala Lettura Palazzo San Daniele,"Via del Carmine 14, Torino",Numerosi posti studio,Lun-Ven 9:30-13:30 / 14:30-18:30,"Oltre 300.000 volumi sul '900, Wi-Fi gratuito, prenotazione necessaria",https://www.polodel900.it
