Nome Ufficio,Istituzione,Tipo,Categoria,Indirizzo,Circoscrizione,Telefono,Email,Skype,Orario Lunedì,Orario Martedì,Orario Mercoledì,Orario Giovedì,Orario Venerdì,Orario Sabato,Orario Domenica,Servizi,Prenotazione,Online,Responsabile
Infopoint UnITo - Via Po,Università di Torino,Informazioni Generali,Frontdesk,"Via Po, 29 - Palazzo degli Stemmi, 10124 Torino",Centro,+39 011 6703020-3021,infopoint@unito.it,infopoint.unito,09:00 - 16:30,Chiuso,09:00 - 16:30,Chiuso,09:00 - 16:30,Chiuso,Chiuso,"Informazioni generali, iscrizioni, orientamento",No,Sì - Skype,
Segreteria Studenti - Polo Scientifico (Grugliasco),Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Largo Paolo Braccini, 2 - 10095 Grugliasco (TO)",Grugliasco,+39 0116709900 (lun-ven 9:30-11:30),N/A,,N/A,10:00 - 12:00,N/A,13:30 - 15:30,N/A,Chiuso,Chiuso,"Immatricolazione, iscrizioni, piani carriera, problemi registrazione",Help desk online,Sì,Claudia Grosso
Segreteria Studenti - Polo Didattico Vanchiglia (Corso Unione Sovietica),Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Corso Unione Sovietica, 218 bis - 10134 Torino",Vanchiglia,+39 0116709900 (lun-ven 9:30-11:30),N/A,,N/A,09:00 - 12:30,N/A,13:00 - 15:30,N/A,Chiuso,Chiuso,"Immatricolazione, iscrizioni, cambio corso, piani carriera",Help desk online,Sì,Francesco Spina
Segreteria Studenti - Polo Umanistico/Linguistico/Formazione,Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Via Sant'Ottavio, 17/4 - 10124 Torino",Centro,+39 0116709900 (lun-ven 9:30-11:30),N/A,,N/A,09:00 - 12:30,N/A,13:00 - 15:30,N/A,Chiuso,Chiuso,"Iscrizioni, carriera, tesi, laurea, Erasmus info",Help desk online,Sì,Daniela Lazzaro
Segreteria Studenti - Polo Medico (Corso Dogliotti),Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Corso Dogliotti, 38 - Piano terra (Stanza 39) - 10126 Torino",Cit Turin,+39 011 6703539 | Help desk 011 6709900 (tasto 9),didattica.medtorino@unito.it,,N/A,10:00 - 12:00,N/A,13:30 - 15:30,N/A,Chiuso,Chiuso,"Medicina, Scienze Mediche, Biotecnologie, Professioni Sanitarie",Consigliato Campusnet,Sì - Email,Fabio Paternò
Segreteria Studenti - Polo Medico (Corso Massimo d'Azeglio),Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Corso Massimo d'Azeglio, 60 - 10126 Torino",Cit Turin,"+39 0116709900 (lun-ven dalle 9:30 alle 11:30, tasto 9)",N/A,,N/A,N/A,N/A,N/A,N/A,Chiuso,Chiuso,Supporto amministrativo medicina e biotecnologie,Telefono,N/A,N/A
Segreteria Studenti - Polo Giurisprudenza/Economia (Via Santa Croce),Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Via Santa Croce, 6 - 10123 Torino",Centro,+39 0116709900 (lun-ven 9:30-11:30),N/A,,N/A,09:00 - 12:30,N/A,13:00 - 15:30,N/A,Chiuso,Chiuso,"Giurisprudenza, Economia, Statistica, Management",Help desk online,Sì,Massimo Scuglia
Segreteria Studenti - Polo Agraria/Veterinaria (Corso Regina Margherita),Università di Torino,Segreteria Polo,Iscrizione/Carriera,"Corso Regina Margherita, 60 - 10153 Torino",San Salvario,+39 0116709900 (lun-ven 9:30-11:30),N/A,,N/A,09:00 - 12:30,N/A,13:00 - 15:30,N/A,Chiuso,Chiuso,"Scienze Agrarie, Veterinaria, Scienze della Terra",Help desk online,Sì,Consolatrice Murtas
Diritto allo Studio - Tasse e Esoneri,Università di Torino,Tasse/Borse,Tasse e Diritto allo Studio,"Via Po, 29 - 10124 Torino",Centro,+39 011 6709902,N/A,N/A,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,09:00 - 12:00,Chiuso,Chiuso,"Tasse universitarie, borse di studio, esoneri, rateizzazioni",No,Help desk online,
Servizi per Disabilità e DSA,Università di Torino,Inclusione,Inclusione e Accessibilità,"Via Po, 31 - 10124 Torino",Centro,+39 011 6704284,disabilita.dsa@unito.it,N/A,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,11:00 - 13:00 | 14:00 - 15:30,Chiuso,Chiuso,"Ausili tecnici, supporto DSA, accesso facilitato, dispense",Obbligatorio,Email per appuntamento,
Erasmus+ e Mobilità Internazionale,Università di Torino,Erasmus,Mobilità Internazionale,"Via Sant'Ottavio, 12 - Complesso Aldo Moro, Palazzina D - 10124 Torino",Centro,+39 011 6704425,mobilita.internazionale@unito.it,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Programmi Erasmus+, doppi titoli, mobilità all'estero, LLP",Obbligatorio,Email/Videoconferenza,
Studenti Internazionali (Incoming),Università di Torino,Studenti Int.,Studenti Internazionali,"Via Sant'Ottavio, 12/B - Complesso Aldo Moro, Palazzina D - 10124 Torino",Centro,+39 011 6704452,internationalstudents@unito.it,N/A,14:00 - 16:00,14:00 - 16:00,14:00 - 16:00,14:00 - 16:00,14:00 - 16:00,Chiuso,Chiuso,"Accoglienza Erasmus, visti, alloggio, orientamento, buddy",Sì,Sì - Videoconferenza,
Supporto Psicologico - Spazio di Ascolto,Università di Torino,Psicologico,Supporto Psicologico,"Via Verdi, 10 - 10124 Torino",Centro,+39 388 1469366,spazioascolto@unito.it,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Counseling psicologico, supporto emotivo, mediazione conflitti",Obbligatorio,Email,
SUPERA - Sportello Riuscita Accademica,Università di Torino,Tutoring,Supporto Accademico,Varie sedi (contattare via email),Vario,N/A,supera@unito.it,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Tutor accademico, metodo di studio, pianificazione carriera",Obbligatorio,Email,
